accession	phylum	class	species
GB_GCA_009778385	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp009778385
GB_GCA_009781395	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp009781395
GB_GCA_041676085	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp012511995
GB_GCA_032335675	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp012513715
GB_GCA_012515445	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp012515445
GB_GCA_023488905	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp023488905
GB_GCA_026014585	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp026014585
GB_GCA_026014665	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp026014665
GB_GCA_026014685	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp026014685
GB_GCA_026014725	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp026014725
GB_GCA_026014735	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp026014735
GB_GCA_026014745	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp026014745
GB_GCA_031256395	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp031256395
GB_GCA_031274765	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp031274765
GB_GCA_040268405	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp040268405
GB_GCA_903884205	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp903901015
GB_GCA_031254875	Thermoproteota	Bathyarchaeia	Bathycorpusculum termitum
GB_GCA_016806715	Thermoplasmatota	Thermoplasmata	B-DKE sp002204705
GB_GCA_038729425	Thermoplasmatota	Thermoplasmata	B-DKE sp038729425
GB_GCA_021650775	Thermoproteota	Nitrososphaeria_A	Benthortus lauensis
GB_GCA_016212505	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp016212505
GB_GCA_016926175	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp016926175
GB_GCA_018812715	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp018812715
GB_GCA_018813505	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp018813505
GB_GCA_020053355	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp020053355
GB_GCA_023248035	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp023248035
GB_GCA_026992595	Micrarchaeota	Micrarchaeia	Bilamarchaeum sp026992595
